Columna1,Columna2,Columna3
id,text,Descripcion
title,Tasks,title
heading,Tasks,heading
createTaskLink,New Task,link
filterButton,Filter By,button
finishTaskButton,Finish Task,timer
openTaskButton,Open Task,timer
yellowButton,Yellow,filter
greenButton,Green,filter
redButton,Red,filter
completeButton,Complete,filter
blueButton,Blue,filter
modalTaskDescription,Description,modal
modalTaskSubH,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore",modal
modalTaskHeading,Insert Task,modal
ascendingFilter,Newest Tasks,filter
descendingFilter,Oldest Tasks,filter
headingDeleteModal,Delete a Task,modal
textDeleteModal,"Are you sure you want to delete this task?: ""taskText""",modal
